city,timestamp,temperature,season
New York,2010-01-01,1.6762708877717651,winter
New York,2010-01-02,6.5120215170556595,winter
New York,2010-01-03,-4.189094096250294,winter
New York,2010-01-04,-0.22599843655897517,winter
New York,2010-01-05,-0.06486291894632108,winter
New York,2010-01-06,0.8845866011361542,winter
New York,2010-01-07,-0.23809666509411437,winter
New York,2010-01-08,5.075172496715315,winter
New York,2010-01-09,-11.36456703470419,winter
New York,2010-01-10,-2.64874793563044,winter
New York,2010-01-11,4.6684106562663015,winter
New York,2010-01-12,-1.5476413431726548,winter
New York,2010-01-13,6.145071823016065,winter
New York,2010-01-14,4.39427500353873,winter
New York,2010-01-15,-3.251998973724331,winter
New York,2010-01-16,0.6364180623922422,winter
New York,2010-01-17,-3.645161975467487,winter
New York,2010-01-18,2.2450780084369724,winter
New York,2010-01-19,-0.2803648308745855,winter
New York,2010-01-20,3.0086701195253833,winter
New York,2010-01-21,-0.9811251801451777,winter
New York,2010-01-22,-5.955194971632199,winter
New York,2010-01-23,3.34985990120894,winter
New York,2010-01-24,-9.043717760663451,winter
New York,2010-01-25,-0.5889342491467154,winter
New York,2010-01-26,-0.21876817336993654,winter
New York,2010-01-27,2.458363301801261,winter
New York,2010-01-28,2.001673362096758,winter
New York,2010-01-29,4.099372779516015,winter
New York,2010-01-30,0.29940659567163413,winter
New York,2010-01-31,-0.9159736447370055,winter
New York,2010-02-01,0.14084736748395402,winter
New York,2010-02-02,0.13685371238243893,winter
New York,2010-02-03,-6.482781440690914,winter
New York,2010-02-04,-5.2700606418262455,winter
New York,2010-02-05,-6.368710419483693,winter
New York,2010-02-06,-10.425169069825003,winter
New York,2010-02-07,-0.16433350292393387,winter
New York,2010-02-08,-0.3541515892802561,winter
New York,2010-02-09,-5.170352997925578,winter
New York,2010-02-10,-0.5415837655036053,winter
New York,2010-02-11,-0.3443068400904276,winter
New York,2010-02-12,0.18830526618439064,winter
New York,2010-02-13,6.522690988475704,winter
New York,2010-02-14,2.924519001165952,winter
New York,2010-02-15,11.223069518085317,winter
New York,2010-02-16,-1.682451505411551,winter
New York,2010-02-17,5.579122078967016,winter
New York,2010-02-18,0.5469292990559667,winter
New York,2010-02-19,-13.561563715624288,winter
New York,2010-02-20,0.1632496232595815,winter
New York,2010-02-21,0.03726391861373119,winter
New York,2010-02-22,-3.3168901732714424,winter
New York,2010-02-23,-5.406733187693255,winter
New York,2010-02-24,-8.128071304172979,winter
New York,2010-02-25,1.0345752401340504,winter
New York,2010-02-26,-11.666564687923254,winter
New York,2010-02-27,1.1273644099828937,winter
New York,2010-02-28,-4.352534394953867,winter
New York,2010-03-01,15.832625113198976,spring
New York,2010-03-02,12.919913734806,spring
New York,2010-03-03,8.98797246211727,spring
New York,2010-03-04,6.07199160774974,spring
New York,2010-03-05,6.556253053517141,spring
New York,2010-03-06,6.783307913495172,spring
New York,2010-03-07,5.887909899732634,spring
New York,2010-03-08,7.474075843064748,spring
New York,2010-03-09,14.03175403838149,spring
New York,2010-03-10,4.527318982876274,spring
New York,2010-03-11,14.439356264134013,spring
New York,2010-03-12,12.695421751453686,spring
New York,2010-03-13,8.890777856074276,spring
New York,2010-03-14,5.299535586482175,spring
New York,2010-03-15,7.069450521628642,spring
New York,2010-03-16,-0.26797991941991484,spring
New York,2010-03-17,12.55322063007474,spring
New York,2010-03-18,18.293082511934603,spring
New York,2010-03-19,16.095513665337528,spring
New York,2010-03-20,14.509352872686804,spring
New York,2010-03-21,4.787294301177357,spring
New York,2010-03-22,10.624130526198488,spring
New York,2010-03-23,6.639924598246827,spring
New York,2010-03-24,10.086692954670657,spring
New York,2010-03-25,12.475429769842876,spring
New York,2010-03-26,-2.5583644775503362,spring
New York,2010-03-27,12.867432392069222,spring
New York,2010-03-28,14.929650999985618,spring
New York,2010-03-29,8.974306158679907,spring
New York,2010-03-30,10.1451419587124,spring
New York,2010-03-31,5.875775670235922,spring
